name,lat,lng
Chai Point - Koramangala,12.9352,77.6245
Chai Point - Indiranagar,12.9784,77.6408
Chai Point - Whitefield,12.9698,77.7499
Chai Point - JP Nagar,12.9105,77.5856
Chai Point - Marathahalli,12.9591,77.7011
Tea Trails - Sadashivanagar,13.0045,77.5780
Tea Trails - HSR Layout,12.9116,77.6370
Tea Trails - Yelahanka,13.1006,77.5963
Chaayos - MG Road,12.9753,77.6134
Chaayos - Electronic City,12.8399,77.6770
Steeped - Jayanagar,12.9300,77.5835
Steeped - Bellandur,12.9264,77.6760
Chai Break - Vijayanagar,12.9718,77.5350
Chai Break - Rajajinagar,12.9925,77.5536
Tea Box - Sarjapur Road,12.9151,77.6868
Tea Box - Cunningham Road,12.9936,77.5968
Brewberrys - RT Nagar,13.0272,77.5952
Brewberrys - Bannerghatta Road,12.8921,77.5975
Chai Wala - Hebbal,13.0450,77.5945
Chai Wala - CV Raman Nagar,12.9905,77.6601
Tapri - Old Airport Road,12.9674,77.6505
Tapri - Basaveshwara Nagar,12.9994,77.5375
