name,lat,lng
Chai Point - T Nagar,13.0418,80.2341
Chai Point - Anna Nagar,13.0850,80.2101
Chai Point - Adyar,13.0012,80.2565
Chai Point - Velachery,12.9791,80.2210
Chai Point - Nungambakkam,13.0604,80.2426
Tea Trails - Mylapore,13.0339,80.2691
Tea Trails - Guindy,13.0067,80.2206
Tea Trails - Kilpauk,13.0770,80.2410
Chaayos - Egmore,13.0732,80.2609
Chaayos - Sholinganallur,12.9010,80.2279
Steeped - Vadapalani,13.0503,80.2121
Steeped - Perungudi,12.9698,80.2420
Chai Break - Porur,13.0382,80.1565
Chai Break - Ambattur,13.1143,80.1548
Tea Box - Besant Nagar,13.0002,80.2668
Tea Box - Kodambakkam,13.0500,80.2266
Brewberrys - Royapettah,13.0530,80.2640
Brewberrys - Chromepet,12.9516,80.1462
Chai Wala - Ashok Nagar,13.0356,80.2100
Chai Wala - Thiruvanmiyur,12.9830,80.2594
Tapri - Pallavaram,12.9675,80.1500
Tapri - Tambaram,12.9249,80.1000
